Term,Position,Role,Intensity,Hyperobject
Healthier Populations ,Oppor,Facilitator,8,clim_chg
Improved Quality of Life ,Oppor,Facilitator,8,clim_chg
New Business Opportunities ,Oppor,Facilitator,9,clim_chg
Increased Innovation ,Oppor,Facilitator,9,clim_chg
Economic Growth ,Oppor,Facilitator,8,clim_chg
Investment in Green Technologies ,Oppor,Driver,9,clim_chg
Increased Research and Development ,Oppor,Driver,8,clim_chg
Scientific Discoveries ,Oppor,Facilitator,9,clim_chg
Improved Climate Modeling ,Oppor,Driver,8,clim_chg
Better Climate Predictions ,Oppor,Facilitator,8,clim_chg
More Effective Climate Policies ,Oppor,Facilitator,9,clim_chg
Global Climate Agreements ,Oppor,Facilitator,9,clim_chg
Great Power Competition ,Threat,Driver,9,geopol
Trade Wars ,Threat,Driver,8,geopol
Military Conflicts ,Threat,Contributor,8,geopol
Proxy Wars ,Threat,Contributor,7,geopol
Cyber Warfare ,Threat,Contributor,8,geopol
Information Warfare ,Threat,Contributor,7,geopol
Economic Sanctions ,Threat,Driver,8,geopol
Resource Conflicts ,Threat,Driver,9,geopol
Territorial Disputes ,Threat,Driver,8,geopol
Maritime Disputes ,Threat,Driver,8,geopol
Border Tensions ,Threat,Driver,8,geopol
Arms Races ,Threat,Driver,9,geopol
Nuclear Proliferation ,Threat,Contributor,9,geopol
Weapons of Mass Destruction ,Threat,Contributor,9,geopol
Terrorism ,Threat,Contributor,8,geopol
Extremism ,Threat,Contributor,7,geopol
Political Instability ,Threat,Contributor,8,geopol
Regime Change ,Threat,Driver,8,geopol
Failed States ,Threat,Contributor,7,geopol
Humanitarian Crises ,Threat,Contributor,7,geopol
Refugee Flows ,Threat,Contributor,7,geopol
Migration Crises ,Threat,Contributor,7,geopol
Disease Outbreaks ,Threat,Contributor,6,geopol
Pandemics ,Threat,Contributor,7,geopol
Economic Disruptions ,Threat,Contributor,8,geopol
Supply Chain Vulnerabilities ,Threat,Contributor,7,geopol
Inflation ,Threat,Contributor,6,geopol
Currency Fluctuations ,Threat,Contributor,6,geopol
Debt Crises ,Threat,Contributor,7,geopol
Financial Contagion ,Threat,Contributor,7,geopol
Protectionism ,Threat,Driver,7,geopol
Trade Barriers ,Threat,Driver,7,geopol
Reduced Global Trade ,Threat,Contributor,7,geopol
Slowing of Economic Growth ,Threat,Contributor,7,geopol
Increased Poverty ,Threat,Contributor,7,geopol
Food Insecurity ,Threat,Contributor,7,geopol
Water Scarcity ,Threat,Contributor,7,geopol
Climate Change Impacts ,Threat,Contributor,8,geopol
Environmental Degradation ,Threat,Contributor,7,geopol
Resource Depletion ,Threat,Contributor,6,geopol
Loss of Biodiversity ,Threat,Contributor,6,geopol
Ecosystem Collapse ,Threat,Contributor,6,geopol
Loss of Cultural Heritage ,Threat,Contributor,6,geopol
Damage to Historic Sites ,Threat,Contributor,5,geopol
Loss of Traditional Practices ,Threat,Contributor,5,geopol
Erosion of International Law ,Threat,Contributor,6,geopol
Weakening of International Institutions ,Threat,Contributor,7,geopol
Decline of Multilateralism ,Threat,Driver,8,geopol
Rise of Nationalism ,Threat,Driver,8,geopol
Populism ,Threat,Driver,7,geopol
Xenophobia ,Threat,Driver,7,geopol
Authoritarianism ,Threat,Facilitator,8,geopol
Erosion of Democracy ,Threat,Contributor,7,geopol
Human Rights Violations ,Threat,Contributor,7,geopol
Censorship ,Threat,Contributor,6,geopol
Surveillance ,Threat,Contributor,6,geopol
Political Repression ,Threat,Facilitator,7,geopol
Social Unrest ,Threat,Contributor,7,geopol
Political Violence ,Threat,Contributor,7,geopol
Terrorism ,Threat,Contributor,7,geopol
Extremism ,Threat,Contributor,6,geopol
Civil Wars ,Threat,Contributor,8,geopol
Insurgencies ,Threat,Contributor,7,geopol
Ethnic Cleansing ,Threat,Contributor,8,geopol
Genocide ,Threat,Contributor,9,geopol
Crimes Against Humanity ,Threat,Contributor,9,geopol
Forced Displacement ,Threat,Contributor,8,geopol
Human Trafficking ,Threat,Contributor,7,geopol
Slavery ,Threat,Contributor,6,geopol
Torture ,Threat,Contributor,7,geopol
Extrajudicial Killings ,Threat,Contributor,7,geopol
Arbitrary Detention ,Threat,Contributor,6,geopol
Suppression of Dissent ,Threat,Facilitator,7,geopol
Restriction of Freedoms ,Threat,Contributor,7,geopol
Control of Information ,Threat,Contributor,7,geopol
Propaganda ,Threat,Facilitator,8,geopol
Misinformation ,Threat,Facilitator,7,geopol
Disinformation ,Threat,Facilitator,8,geopol
Echo Chambers ,Threat,Contributor,6,geopol
Filter Bubbles ,Threat,Contributor,6,geopol
Online Radicalization ,Threat,Facilitator,7,geopol
Social Polarization ,Threat,Contributor,7,geopol
Economic Coercion ,Threat,Driver,8,geopol
Political Interference ,Threat,Driver,8,geopol
Meddling in Elections ,Threat,Driver,8,geopol
Support for Authoritarian Regimes ,Threat,Contributor,7,geopol
Undermining of Democratic Institutions ,Threat,Contributor,7,geopol
Double Standards ,Threat,Contributor,6,geopol
Selective Enforcement of International Law ,Threat,Contributor,7,geopol
Erosion of Trust in International Organizations ,Threat,Contributor,7,geopol
Geopolitical Rivalry ,Threat,Driver,9,geopol
Zero-Sum Thinking ,Threat,Contributor,7,geopol
Spheres of Influence ,Threat,Driver,8,geopol
Power Imbalances ,Threat,Contributor,7,geopol
Hegemonic Ambitions ,Threat,Driver,9,geopol
Imperialism ,Threat,Contributor,8,geopol
Colonialism ,Threat,Contributor,7,geopol
Neo-Colonialism ,Threat,Contributor,8,geopol
Global Instability ,Threat,Contributor,9,geopol
Multipolar World Order ,Oppor,Facilitator,8,geopol
Regional Cooperation ,Oppor,Driver,8,geopol
Balance of Power ,Oppor,Facilitator,7,geopol
Peaceful Competition ,Oppor,Facilitator,7,geopol
Diplomacy and Negotiation ,Oppor,Driver,9,geopol
Conflict Resolution ,Oppor,Facilitator,8,geopol
Mediation ,Oppor,Facilitator,7,geopol
Arms Control Agreements ,Oppor,Driver,8,geopol
Disarmament Initiatives ,Oppor,Facilitator,7,geopol
Nuclear Non-Proliferation ,Oppor,Facilitator,9,geopol
International Law Enforcement ,Oppor,Facilitator,8,geopol
Strengthening of International Institutions ,Oppor,Driver,8,geopol
Reform of the United Nations ,Oppor,Facilitator,7,geopol
Global Governance ,Oppor,Facilitator,8,geopol
Promotion of Democracy ,Oppor,Facilitator,7,geopol
Human Rights Advocacy ,Oppor,Driver,8,geopol
Rule of Law ,Oppor,Facilitator,9,geopol
Good Governance ,Oppor,Facilitator,8,geopol
Transparency and Accountability ,Oppor,Facilitator,7,geopol
Anti-Corruption Efforts ,Oppor,Facilitator,8,geopol
Protection of Civil Liberties ,Oppor,Facilitator,8,geopol
Freedom of Expression ,Oppor,Facilitator,9,geopol
Press Freedom ,Oppor,Facilitator,8,geopol
Independent Media ,Oppor,Facilitator,8,geopol
Access to Information ,Oppor,Facilitator,9,geopol
Education for All ,Oppor,Driver,8,geopol
Global Literacy ,Oppor,Facilitator,8,geopol
Skill Development ,Oppor,Driver,7,geopol
Economic Empowerment ,Oppor,Facilitator,8,geopol
Poverty Reduction ,Oppor,Facilitator,7,geopol
Sustainable Development ,Oppor,Facilitator,9,geopol
Environmental Protection ,Oppor,Facilitator,8,geopol
Climate Change Mitigation ,Oppor,Facilitator,8,geopol
Resource Management ,Oppor,Facilitator,7,geopol
Conservation Efforts ,Oppor,Facilitator,7,geopol
Renewable Energy Development ,Oppor,Facilitator,8,geopol
Green Jobs Creation ,Oppor,Facilitator,7,geopol
Sustainable Agriculture ,Oppor,Facilitator,7,geopol
Food Security Initiatives ,Oppor,Facilitator,7,geopol
Water Management ,Oppor,Facilitator,7,geopol
Improved Sanitation ,Oppor,Facilitator,6,geopol
Healthcare Access ,Oppor,Facilitator,7,geopol
Disease Prevention ,Oppor,Facilitator,7,geopol
Pandemic Preparedness ,Oppor,Facilitator,8,geopol
Disaster Relief ,Oppor,Facilitator,9,geopol
Humanitarian Aid ,Oppor,Driver,9,geopol
Refugee Assistance ,Oppor,Driver,8,geopol
Migration Management ,Oppor,Facilitator,7,geopol
Cultural Exchange ,Oppor,Facilitator,8,geopol
Intercultural Dialogue ,Oppor,Facilitator,7,geopol
Global Understanding ,Oppor,Facilitator,8,geopol
Peaceful Coexistence ,Oppor,Facilitator,9,geopol
Shared Prosperity ,Oppor,Facilitator,8,geopol
Collective Security ,Oppor,Facilitator,7,geopol
International Cooperation ,Oppor,Driver,9,geopol
Multilateral Partnerships ,Oppor,Driver,8,geopol
Shared Problem Solving ,Oppor,Facilitator,8,geopol
Global Challenges Addressed ,Oppor,Facilitator,9,geopol
Improved International Relations ,Oppor,Facilitator,8,geopol
Reduced Conflict ,Oppor,Facilitator,9,geopol
Enhanced Security ,Oppor,Facilitator,8,geopol
Stability in Global Affairs ,Oppor,Facilitator,8,geopol
Economic Growth ,Oppor,Facilitator,8,geopol
Trade Opportunities ,Oppor,Driver,8,geopol
Investment Flows ,Oppor,Driver,8,geopol
Market Expansion ,Oppor,Driver,7,geopol
Technological Advancement ,Oppor,Facilitator,8,geopol
Innovation ,Oppor,Facilitator,7,geopol
Knowledge Sharing ,Oppor,Facilitator,8,geopol
Scientific Collaboration ,Oppor,Facilitator,8,geopol
Research and Development ,Oppor,Facilitator,7,geopol
Improved Communication ,Oppor,Facilitator,8,geopol
Access to Information ,Oppor,Facilitator,9,geopol
Digital Connectivity ,Oppor,Facilitator,8,geopol
Globalized Culture ,Oppor,Facilitator,7,geopol
Interconnected World ,Oppor,Facilitator,9,geopol
Shared Values ,Oppor,Facilitator,7,geopol
Common Goals ,Oppor,Facilitator,8,geopol
Collective Action ,Oppor,Facilitator,8,geopol
Shared Responsibility ,Oppor,Facilitator,7,geopol
Global Citizenship ,Oppor,Facilitator,8,geopol
A More Just World ,Oppor,Facilitator,9,geopol
A More Equitable World ,Oppor,Facilitator,8,geopol
A More Sustainable World ,Oppor,Facilitator,9,geopol
A More Peaceful World ,Oppor,Facilitator,10,geopol
